title,award,critic,public
,,,"It's a well shot movie that partly feels like it was too obviously written for the critics. If you break the story down to the essential, you'll find too many ""play-it-by-the-book sentimental drama"" clichés and hardly anything surprising or new."
,,,"Taking a look at a coming-of-age story that is as special as it is powerful, Moonlight exquisitely represents two underlooked communities with authenticity and impeccable work from every single person involved. Incredible performances and an outstanding score are two of the things that make this even more emotionally impactful, while it also is visually beautiful, its raw and heartwarming depictions, such as love and types of abuse, are what make this film captivating and shocking, giving audiences a very bittersweet experience that sometimes may not be for the faint of heart, but that it eventually rewards with a heartfelt story."
,,,"The two time jumps in Moonlight are significantly difficult to overcome; especially the latter. Once Barry Jenkins finally gets you hooked on of the three stages of Chiron, he jumps to the next and just like that all traces of the last age flash are completely erased. Now with this said, Moonlight is still a decent movie, mainly because of Chiron's second age flash. I also would've enjoyed Moonlight much more if at least they would've made Chiron's third age flash slightly entertaining. I was bored out of my mind watching Chiron's third age flash and kept waiting for something significant to happen, but at the end of Moonlight I was left with a bland, boring taste"
,,,"This was one of the most beautifully photographed, superbly set, and genuinely authentic films I've ever seen. Jenkins established a time and place perfectly, and told such an achingly honest and unsparing story of identity and self-awakening, it's almost like poetry. The use of a steadicam instead of a handheld gave it an uncommon grace and dignity which added to its authenticity. This is a movie I won't soon forget."
,,,"Beautiful coming of age story about vulnerability and the intersectionality of race, sexuality, economic status and age. Great representation on life. Plus the cinematography was perfect. Only downside was it was a little slow."
,,,"Well done and brave. Great acting. What keeps it from a better rating is that it (even as an Indie) falls into stereotyping. Wouldn’t this be far more moving and real if the kid grew up to be average looking, maybe with weight issues, etc....? But no... the gay black kid has to grow up to be a muscular black stud, and the camera fetishizing him with lingering shots over his torso"
,,,"This is not a very different kind of hood movie. It focuses on the tough upbringing of a boy in the streets of Miami, rather than a lot of street violence and drugs. There isn't actually as much going on as you would expect. And some moments are long. But Moonlight manages to also have some powerful moments, and the cast are all pretty good. It deals with themes such as homosexuality, Afro-American identity and social classes. Which is why it won the Academy Award for beat picture. It's a sometimes touching flick and overall a good and very smart movie. Recommended!!"
,,,"The SAG screener came out for MOONLIGHT. Yet another boring film being hyped for the Oscars. Painfully predictable. EVERY black stereotype and cliche is dragged out before us, one by one. This film tries to do too much, yet covers zero original ground. For those who measure the value of a project in diversity, this lacks it ENTIRELY, being set in Miami, yet does not have a single white or Hispanic cast member. The only white people I recall seeing in the whole film were two background actors eating at a diner. I do not recall a single Hispanic, even as background. IN MIAMI. It tells a threadworn tale we've seen done better before. MANCHESTER BY THE SEA is a wild car chase compared to this (It is also a FAR better film). Pulled in $11MM against a $5MM budget. That's a wash or a loss, folks. Incredibly, rated 98/90. That's rated better by critics than THE SHAWSHANK REDEMPTION. (91/98). The world has gone mad"
,,,"A heavily Oscar crafted indie film that definitely isn't for everybody. But this is what you get with company A24. The performances are spectacular, the directing is sharp, and it knows exactly what it wants to be. If your looking for those elements along with a boring film with thin consistency, no story to tell, weak writing, and characters that are difficult to relate to. Even for the LGBTs, than this is the film for you. For everyone else, it is not really their cup of tea."
,,,"I've seen Moonlight four times and I feel that this is the best film of all time. Never has anything I've ever seen come close to Moonlight, Barry Jenkins is going to achieve legendary status as a director in the near future as he wrings beauty in every scene despite the bleakest of circumstances. The three act structure is beautiful as we see a vulnerable boy who can't be himself struggle to find himself in his bleak life in working class America. It's a film unlike any other and one of the most deserved best picture winners ever. This will and always will be my favourite film and I have a feeling I'm going to enjoy every single film Jenkins makes."
,,,"This is one of the more interesting Best Picture winners that I have ever seen, it's a story about underprivileged African-Americans that is not seen through a white lens. There is no black and white in this film, those who treat the main character with love and care are complicit in the abuse of others and that makes a very complex film. Having recently seen If Beale Street Could Talk (2018) it was rewarding to look back at Barry Jenkins' breakout film and see all of the flourishes that make him such a unique director. Thank goodness that this and not the cringe worthy and forgettable La La Land (2016). We see a man Chiron,, at three different stages in his life as he progresses from troubled child with an abusive mother to confused homosexual teenager to emotionally neutered adult. The figures surrounding him who most matter are his drug-addicted mother, Naomie Harris, his childhood mentor, Mahershala Ali, and his high school friend,,. His mentor tries to teach him how to live a moral life but Chiron ends up following in his footsteps and becoming a drug dealer himself whilst his friend gives him a hand job on the beach but later beats him up after facing peer pressure. All of the abuse he has faced in his life lead to him becoming a man who directs all of his energy into exercise and the illegal activities that help him earn a living whilst having no outlet for his sexual frustration. What makes the film special is that these people are seen as just that normal people, not slaves or slightly simple but innocent folks who need to be helped along by an intellectually superior white person. Chiron faces many difficulties in his life a lot of which are probably influenced by racial inequality in the United States but racism is not the focus of the story instead we see his troubled coming of age in a black community in which complex figures exist. Teresa, Janelle Monae, is a kind, motherly figure that Chiron can look up to instead of his own abusive, troubled mother. We see two very different women, both black, with major supporting roles who both have significant flaws whilst also having redemptive moments. This sort of nuance is not present in The Help (2011) or The Blind Side (2009) in which African-Americans are reduced to supporting players who need the help of Emma Stone or Sandra Bullock. The presence of an extremely quiet, self-contained lead character could have made the film difficult to engage with but fortunately all three actors who portrayed the main character were very good at conveying internal strife. In particular,, was able to capture his character's ambivalence about his sexual attraction to his best friend. The actors manage to make their version of the character feel like a natural progression instead of feeling like a completely different interpretation this means that emotional moments have more impact as we have sympathy for that little boy on the beach when we understand that Chiron has become as bad as his mentor. If I had any criticism of the film, I have very little, I would say it's a fairly ugly film and I understand that the location that Chiron lives in is either rough or just dull but I still believe that more effort could be put in to add something to visual style of this film. In Knight of Cups (2015), a very different film I know, Christian Bale or Rick, as his character is known, visits Skid Row one of the roughest neighborhoods in the United States and yet through the lens of Emmanuel Lubezki there is a strange beauty to it. Lubezki is one of the best cinematographers working today and not every film is going to look as beautiful as something directed by Terrence Malick but you would still hope for something approaching grotesque beauty. This was definitely a deserving Best Picture winner as it was much better than any of the other films nominated that year but I personally preferred Manchester by the Sea (2016). Kudos to the Academy for rewarding a non-white savior narrative film about people of color, it's about damn time, but it's rather disappointing to see them regress with Green Book (2018)."
,,,"As a guy who didn't like Boyhood, I feel like Moonlight, another film about a boy growing up, was infinitely better. Boyhood explored every single detail about Mason's life, and many of those details don't translate well as a narrative. Many plot points would be quickly forgotten and were never referenced again. Moonlight only shows three parts of Chiron's life, but those three parts are the most vital to the plot. This creates a narrative that is very engaging. Another thing I didn't like about Boyhood was that it shoved in a bunch of pop-culture references that were really dated by the time the film hit theaters. Moonlight never quite specifies when it takes place, making the film feel more timeless as the years go by. I know a lot of people really loved Boyhood, but I personally think Moonlight was a much better film on just about every level. The characters are more interesting, the story is very interesting, the editing is beyond genius, and overall, I feel that Moonlight will hold up in the years to come."
,,,"Personally I thought Harris was amazing in her role as a mother addicted to crack. Just flawless. Even the first and second Chiron's were great, but of course it is Jenkins who is the master at hand, creating a movie that had this calming quality to it yet is emotionally filled to the brim. That is truly something amazing. Too bad that this then ended on an utterly boring third act which moved so slowly. Did not like that at all."
,,,This movie is the most boring movie i have seen to date. I dont see the meaning behind this pure garbage of a movie. The only reason this movie is scored high is because the main character is a gay black person.
,,,"Nothing special about it. I just saw a french film the summer before this movie and it was basically the same story, the only difference is that there are no moms on drugs and no guy randomly swimming with a small boy on the beach. Everything else is basically in the film. Disappointing that it just felt like an artsy fartsy film that had people saying the N word way too much"
,,,This movie is so boring. The plot was very bad. Only the best part of the film was the first stage of the kid with a great performance by Mahershala Ali. The rest 1 hour and a half was so boring.
,,,"It's over two years since this movie won an academy award for best picture and it's still an easily forgettable film because we have seen it so many times. Don't get me wrong it's a good film as you can see by my score but there are many other films that I remember much better in 2016 and this is the case for many films. The film is a coming of age story for a troubled youth in a violent atmosphere and his journey to be a person of character rather than a person that assimilates the nature of his environment. The most memorable performance without a doubt is Mahershala Ali who plays a father figure with his own ugly tendencies. I don't know if I would recommend Moonlight as it is a good film, but not a great one. It has great drama, but that is expected from a story like this. Still I would suggest that there are many other films to see that you will remember years later."
,,,"If this half ass movie can win best picture than I don't know what will in the future. Anyway the only good thing about this movie other than mahershala Ali's performance was the first act, the score was beautiful and the acting was excellent but it was really boring with a weak story. So in other words it sucked."
,,,"Moonlight is a modern masterpiece. The story may seem simple and familiar, but it is told in an extremely powerful way, addressing themes like masculinity, identity, love, race, class, and parenting, all told in a visceral way that makes the setting come to life through the eyes of the highly relatable outsider. I have no complaints about this film as I still can't get it out of my head. There is and has never been anything like Moonlight."
,,,
La La Land,Oscars,"It's the careful balance between the emotional realism of the acting and the sheer technical audacity of the musical numbers that elevates the movie into the realm of greatness even before Chazelle rips out your heart with the extended, bittersweet coda.","Told with an affectionate spin consisting of masterfully vibrant images, La La Land may drag its feet admittedly more than it needs to but quickly corrects most errors with a speechlessly emotional ending."
,,La La Land wants you to take in its beauty and get to know its young dreamers. The ending packs an emotional punch but most of the ride is a joyous visual feast that just wants you to have a good time.,One of the most memorable films of the decade. The casual transitions into mello numbers are a great throwback to an older era. People expecting an all out lungs/dance piece reflecting modern musicals often miss this. The style is supposed to be less committal. Thematically Chazelle's message and vision is also super coherent and he really sticks the melancholy sweet landing.
,,"While the movie is ""tongue in cheek"" and may not completely live up to the movie musical grandeur of olden days, it is, nonetheless, an uplifting, fun film.","La La Land is a movie that affected me deeply from start to finish. Vibrant colors, beautiful songs, excellent acting, fantastic cinematography, and top-notch acting are aplenty in this film. The first time I viewed La La Land it took my breath away, and I don't mean that metaphorically, I literally did not think to breath for at least 10 seconds. I felt that the world had paused, it hit me hard with the brilliant ending sequence. I've since seen La La Land 3 more times and each time it still affects me emotionally, Damien Chazelle has done it again. I had no idea he directed this and Whiplash when I had first seen this, but I was a huge fan of Whiplash as another movie that affected me emotionally. La La Land is a masterpiece and has solidified itself as my favorite movie of all-time. It is beautiful in every capacity, vibrant and boisterous as much as it is melancholy. Thank you Damien for creating this movie."
,,"The director replaces the dances with a sense of rhythm, applying musical mathematics with precision to the cinematographic narrative, its images, the dialogues, carry a hidden musical compass.","STUPID, BORING, WORST MOVIE OF THE DECADE, WORSE THAN CATS."
,,"A shameless love letter to a bygone era of cinema, but it leverages that nostalgia to hide a tragic lesson about life and love.","This film will captivate you from the opening sequence, which I dare say is maybe the best musical introduction since Chicago back in 2002. Gosling and Stone are charming and the cinematography of Sandgren coupled with a flawless direction from Damian Chazelle helped us care for both characters. It will however all be in vain if not for the sublime Justin Hurwitz who created one of the best scores of the decade. Mia and Sebastian theme in particular was so catchy and beautiful, and of course the Oscar winning song ""city of stars"" I'm sure many people will have some other better opinion of jazz music after this due to the simplicity of its melodies. The film will manage to take you slowly but surely to the realistic epilogue that will probably slap you so hard that you will keep on gazing at the screen long after the credits roll."
,,"To love La La Land is to do the work for the film it didn't do itself. It requires sanitizing Sebastian, and to a lesser degree Mia, and endowing them with characteristics they never demonstrate.","I don't get it. People think Ryan Gosling is dreamy, and that's okay. I don't really like musicals, so I'm not the best judge, but I feel like the singers should be able to sing. Don't get the hype on this one."
,,"A ravishing romance, to be sure, filled with romance deliriously exhilarating music and declarations of love in the classic Hollywood vein.","I find almost everything to be overrated these days. This film is just another in a long line of bafflingly overrated movies. The singing is bad, the dancing is bad, the story is bad, and Ryan Gosling's acting sucks (as does his singing and dancing). This is one of those films where all I'll remember about it is that it sucked. I didn't care about the main characters, Mia and Sebastian, at all. I didn't care if they got together romantically or if they succeeded in achieving their dreams. I guess I was supposed to give a crap because they are two young, white, attractive people, but eff that crap. Also, it figures that fake, phony-ass Hollywood would do a movie about some young, white, attractive man doing the black people a favor by championing their music, jazz. This would have been a much better movie if jazzhole Seb had just strangled Mia to death after finding out that she hated jazz. That would have been more in line with his character. And, oh yeah, before I forget, the ""City of Stars"" song featured prominently in this movie absolutely sucks and it isn't even jazz! Just another overrated movie. Just made in America trash."
,,"The takeaway for me is the love story here. At risk of understatement, this is a cinematic love story for the ages. This is a story we haven't seen on screen before, at least certainly not done this well.","Damien Chazelle and company out did themselves with this nod to one of the best eras in cinema. The duo of Emma Stone and Ryan Gosling were even more electric than they are in real life. With Damien's extensive knowledge of such classics as Singin' in the Rain, Broadway Melody of 1940 and Sweet Charity, La La Land shines with a brilliant mixture of comebacks and new material. With 5 Oscar wins, I feel like the film was short changed and should have won at least 8, including Best Picture. If La La Land is not one of the best movies in history, it certainly is one of the best since the turn of the century."
,,"A gorgeously photographed, unashamedly nostalgic, bittersweet marriage of the modern and the traditional, proving Chazelle's fantastic eye for musical sequences.",Ryan Gosling is not much more than a robot. This is another in a long line of Hollywood movies that are little more than masturbatory reflection into the ins and out of the 
,,"As much it is Chazelle's direction that powers the film, it is the chemistry of Ryan Gosling and Emma Stone that ties it all together.","Great concept terribly executed. Flat fake characters with a corny story, could, and should, have been so much better."
,,La La Land shows us a Hollywood fable of failure and desperation dressed up with a fresh coat of new-wave earnestness and nostalgia.,"So a beautiful movie. The cinematography, the colours, the dancing and of corse the music make this such a brilliant movie. The performances from the two leads are great, and you can really feel the chemistry between Ryan Gosling and Emma Stone, make notability in dance and singing scenes. Another thing it does very well is not going for the classic Hollywood ending by having the two live happily ever after. Instead the two characters realise that in order to achieve their dreams, they must let the other go. The final scene is definitely sad and the 30 seconds of silence with the characters looking at each other from across the bar is such a great moment as it seems the characters have a full conversation without saying a word to each other. Definite must see!"
,,,"Gloomy. The movie is a daydream peace of art; one or the things that I realy like is the colors of the movie, they fit with the character, there feelings and for sure with the music. Choreography is delicated, and precise with what is happening inside the movie. The score is a master piece, Justin Hurwitz did a great job matching emotions, dreams and music. Ryan Gosling and Emma Stone were the appropiate for roles of Sebastian and Mia. I can say that if you like musical movies, romance and not looking for a happy ending, you definetly you have to watched."
,,," really wanted to love this film since I have been a serious fan of Hollywood musicals since I was a small child. However, I came away feeling that the sole reason to see this film is to bask in the amazing shots - it is truly a beautiful film. Lighting, staging, color and photography are all top notch, and sometimes transcendent. There is a regularly displayed love of the dolly shot through the film (though in today's tech-wizard film,making, I kept wondering if the oft-used fast-pan was a digital way of cutting between takes, or if it was an actual pan). Disappointingly, everything else gets in the way of the beauty that this film displays. I was surprised that awards were given out for the acting, as it seemed as lacking in depth as the painfully hackneyed plot. I couldn't sympathize with either character as they were both insufferable with no redeeming traits other than their attractiveness (which, to be fair, is commonly the case with struggling LA actors and musicians - but this isn't supposed to be a gritty reality film). I actively wanted their relationship to fail and I usually like silly romantic films (my fave film in the romantic genre is Somewhere in Time). This is a musical, but musicals require BIG songs that you keep humming as you leave the theater and that you want to hear again (think The Music Man, Oliver, West Side Story, Mary Poppins). However, the music in this film was either un-hummable jazz (yes, I do like jazz) or insipid, forgettable songs that I wanted to be over as fast as possible. The vocalists were adequate singers in a bland current-pop sort of way, but that's not how its done in musicals. They're working in a medium that gave us Garland, Minelli, Streisand, Kelly, Preston...these poor La La actors just don't rate. But, oh - those visuals. They are so good that I kept watching to see what was next. So go to school on the photography and if you get into films because the actors are good to look at, you'll be extra happy.Just don't expect substance or the genuine feel of a Hollywood musical."
,,,"I honetly dont know why it was so well recieved. It was the most wooden, mind numbing experience I have suffered under a screen. Can't even remember one song from the movie. Did not carry that musical charm. Only nice thing I can say is that it was visually pleasing, but it was still not enough to hook me in. Movie is all visuals, lack of story, excitement, music, people who can actually sing and pace. Man was it slow."
,,,"Absolutely the worst movie I have ever had the displeasure of having to sit through. I fell asleep of boredom the first time, so I gave it another try thinking I might have missed something. I rewatched it and was sorely disappointed."
,,,"I love Musical I have seen most the Disney movie including straight to video and Disney channel movie lion king broadway hair spray grease 1 and 2 westside story sound of music Mamma Mia! tv show steven universe BUT La La Land one of the worst musical I have ever seen, none of the music makes the story move along or progress, they dance for no reason, given it one hour of my life .. regret watching it!!"
,,,"This is the sort of film that makes you detest musicals with how simultaneously twee and self important it is and the fact that the two leads can barely dance and sing. Damien Chazelle directed the very good Whiplash (2014) which explores the pressures of being an artist with dramatic flair but the other two films that he has directed that I have seen have been huge disappointments. This film was frustrating with it's nods to old Hollywood that felt perfunctory instead of feeling like a genuine tribute and it had the sort of half baked qualities that a film like The Artist (2011) possesses. This is not something that anybody should be clamoring to see and it is offensive to the brilliant Moonlight (2016) that this would ever be considered worthy competition to it. Aspiring actress Mia, Emma Stone, tentatively begins a relationship with classical jazz aficionado Sebastian, Ryan Gosling, after they bond at a friend's party. Mia decides to write and perform in a one woman play to jump start her acting career and Sebastian joins a modern jazz band led by Keith, John Legend, who he rebels against as their musical tastes are opposed to his own. Their relationship begins to break down as their ambitions are completely different and their relationship would require a lot of commitment in order to last. They each attain career success but do not end up together and reminisce about the life they could have had when they see each other again years later. From the opening scene of the film in which people in brightly colored clothing jump out of their cars, stuck in a traffic jam, to perform the lackluster song ""Another Day of Sun"" to jerky choreography I knew I hated this film. From this point the film only gets worse as the songs blend together and Stone's monotonous delivery of her lines leaves us rudderless without a charismatic leading lady. I was hoping throughout for some redemptive moment, something that I could pick out and argue in favor of the film for but I was left with nothing. Going into the film I knew that I was particularly tough on musicals, I can only name a few that I actually like, and I detest Stone as an actress but if I can love One from the Heart (1982) and The Favorite (2018) I thought I could tolerate these two elements to find a great film lurking underneath. The success of a musical to me rests on the quality of the song and dance numbers and this film lacks any memorable tunes and the choreography is limited as the two lead actors can't dance. Even An American in Paris (1951), which is mostly Leslie Caron being awful and dull conversation, partially rescues itself with a magnificent final scene but the closest this film got to competence was using a cover of A-ha's ""Take on Me"" over the party scene. Gosling simply can't sing as he drawls all of the lines in his big song, ""City of Stars"", and Stone is unconvincing as a dancer or a singer which ruins the film considering the fact that she is lumped with most of the workload. The scene of the two of them dancing on the ceiling of the Griffith Conservatory could have been something beautiful but it is ruined by the scenes before and after it and only really works when divorced from the dislikable characters. Stone's win for Best Actress is blasphemous as she beat out the far superior Isabelle Huppert in Elle (2016) and will now shamefully be placed in the same category as Jessica Lange and Elizabeth Taylor as an actress undeserving of an Academy Award. Gosling doesn't fare much better although he can give great dramatic performances and Legend's role, essentially a cameo, suits him well. Go watch Gigi (1958) or Kiss Me Kate (1953) if you want an classic MGM musical that actually works but we would all be doing ourselves a favor if this overblown hit was left in the dust. Stone and the poorly written and performed songs tank the film immediately and not one redeemable scene can be found in the film's 128 minute length."
,,,"Hollywood sure loves Hollywood and any movie that celebrates itself. There is no happy ending, no memorably songs, or outstanding performances. I wouldn't say it was bad it is just easily forgotten. Ryan Gosling can't sing and Emma Stone is passable. They really should have found actors that could sing. The movie had no business being nominated for best picture. If you want something to pass the time without making you mad or really bringing out any emotion this is it. Again not a bad movie, just nothing special."
,,,"Gosling and Stone shines and as a result Chazelle marks his name on the wall. La La Land Chazelle is on a strike. With successive jaw dropping projects coming out, his passion grows more intense and the cinema much larger. Coloring the 70mm screen with rich mesmeric visuals, the director, Damien Chazelle is boasting his love with proper understanding of the Hollywood culture that he so blindingly adores. Not an inch goes by in the film that looks pretentious, working over a year on editing along with Tom Cross, Chazelle wishes you to understand the ""if's"" and ""but's"" of this show business in one note. And boy what a note it is. I am sorry but that hooked theme of Justin Hurwitz, whispered in every line of the film always sobers me up. All hail the production team for carving out this desert as fresh as it looks, from clothes to designing and from locations to set pieces, the view gets better and better and so does the performance. And daunting as this task may sound, but Emma Stone and Ryan Gosling might be the new Woody Allen and Diane Keaton. But unlike them they aren't quirky but are goofy about the relationship and flirty about their first love. If Stone going over the montages of failed auditions is a threat, then Gosling on piano is her equal competitor. I have always preferred them alone, one is happy being stubborn and intuitive- something that she later on adapts from him- and other being mature and hard on herself. Together, they would fall apart, they are meant to be, no matter how in sync are they while dancing and how pitch perfect are they while singing, their rhythm is too vacuumed by the outer world to float in one room, maybe they should have just stayed in that cinema hall, but despite of claiming it to be a La La Land, this is the reality, they had to get out."
,,,"La La Land is gorgeous. If you like film, see it and realize why it had so many Oscar nominations. First of all the movie has basically two characters, Emma Stone and Ryan Gosling's characters are the central focus and it works. They both get nearly equal screen time in order to show off their amazing acting. Not only do they show off their acting, but also dancing and singing, all of which is beautifully sung and choreographed. (This especially applies to Ryan who learned to play piano beautifully just for this movie.) The plot is sweet, romantic, and I always love a tragedy. My favorite aspect of the film are the visuals and the pacing. The movie focuses a lot on color and uses that to paint a fantastical image of Hollywood without being to direct. It helps the plot and determines the mood. The pacing is also perfect; the use of seasons to separate periods of Seb and Mia's relationship works and is timed like they could be chapters in a book. It has a plot that could have been a book integrated with cinematography and musical aspects that I have never seen in a film together."
,,,"I don't think I have ever been in love with a movie, like I'm in love with La La Land. From the first few seconds, till the very end. This movie had me and didn't let go. My english vocabulary is not good enough to express my love, heck, my dutch vocabulary is not good enough to express it. This movie is everything. It is beautiful, happy, magical, romantic and I could go on for a little while longer but I won't. I wasn't expecting it to be this musical-y, but I mean, I love musicals so I'm not complaining. I think this is a great ""musical"" because there isn't non stop singing, so people who don't like musicals might like this one because it's more ""subtle"". I can only imagine how much practice went into all those dance routines and don't get me started on the impressive piano skills Ryan Gosling showed us. Something that really impressed me as well was the way they filmed everything. It's a very creative and different way, which I really enjoyed and think makes this movie a great inspiration for those who love film and camerawork themselves. The build up and flashbacks and stuff were really cool as well. Yea I really enjoyed that. Also, the storyline, which does so much for a movie, was so great. This is normally the part were I talk about the actors, but seeing that there were mainly only two actors and they were both amazing (I do think tho, that Ryan Gosling his character wasn't a very challenging one for him because we have seen him in roles like these before. Mixing it up with all the dancing, singing en piano playing though, you got something quite different and I loved it), I'm going to skip this part and say that you should watch this movie, do nothing more, just watch it, enjoyed it and love it"
